gap_id,Krankenkasse,contribution_period,missing_link,why_missing,documents_needed,search_keywords,suggested_folder
GAP-0104,AOK PLUS,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0105,AOK PLUS,2024-07,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0106,AOK PLUS,2024-07,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0107,AOK PLUS,2024-07,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0108,AOK PLUS,2024-08,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0109,AOK PLUS,2024-08,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0110,AOK PLUS,2024-08,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-08,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0111,AOK PLUS,2024-09,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0112,AOK PLUS,2024-09,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0113,AOK PLUS,2024-10,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0114,AOK PLUS,2024-10,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0115,AOK PLUS,2024-10,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0116,AOK PLUS,2024-11,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0117,AOK PLUS,2024-11,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0118,AOK PLUS,2024-11,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0119,AOK PLUS,2024-12,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0120,AOK PLUS,2024-12,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0121,AOK PLUS,2024-12,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2024-12,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0122,AOK PLUS,2025-01,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0123,AOK PLUS,2025-01,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0124,AOK PLUS,2025-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0125,AOK PLUS,2025-02,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0126,AOK PLUS,2025-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0127,AOK PLUS,2025-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK PLUS 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0128,AOK PLUS,2025-03,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK PLUS 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0129,AOK PLUS,2025-03,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0130,AOK PLUS,2025-03,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0131,AOK PLUS,2025-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0132,AOK PLUS,2025-04,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0133,AOK PLUS,2025-04,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0134,AOK PLUS,2025-04,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0135,AOK PLUS,2025-05,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0136,AOK PLUS,2025-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0137,AOK PLUS,2025-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0138,AOK PLUS,2025-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK PLUS 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0139,AOK PLUS,2025-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK PLUS Ratenzahlung Mahnung 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0140,AOK PLUS,2025-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK PLUS 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0141,AOK Plus,2024-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Plus 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0142,AOK Plus,2024-05,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Plus 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0143,AOK Plus,2024-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Plus Ratenzahlung Mahnung 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0144,AOK Plus,2024-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Plus 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0145,AOK Plus,2024-11,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Plus 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0146,AOK Plus,2024-11,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Plus 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0147,AOK Plus,2024-11,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Plus Ratenzahlung Mahnung 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0148,AOK Plus,2024-11,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Plus 2024-11,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0149,AOK Plus,2025-06,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Plus 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0150,AOK Plus,2025-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Plus Ratenzahlung Mahnung 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0151,AOK Plus,2025-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Plus 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0152,AOK Sachsen-Anhalt,2024-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Sachsen-Anhalt 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0153,AOK Sachsen-Anhalt,2024-03,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Sachsen-Anhalt 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0154,AOK Sachsen-Anhalt,2024-03,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Sachsen-Anhalt 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0155,AOK Sachsen-Anhalt,2024-03,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Sachsen-Anhalt Ratenzahlung Mahnung 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0156,AOK Sachsen-Anhalt,2024-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Sachsen-Anhalt 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0157,AOK Sachsen-Anhalt,2024-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Sachsen-Anhalt 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0158,AOK Sachsen-Anhalt,2024-05,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung AOK Sachsen-Anhalt 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0159,AOK Sachsen-Anhalt,2024-05,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Sachsen-Anhalt 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0160,AOK Sachsen-Anhalt,2024-05,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Sachsen-Anhalt Ratenzahlung Mahnung 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0161,AOK Sachsen-Anhalt,2024-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Sachsen-Anhalt 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0162,AOK Sachsen-Anhalt,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Sachsen-Anhalt 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0163,AOK Sachsen-Anhalt,2024-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email AOK Sachsen-Anhalt Ratenzahlung Mahnung 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0164,AOK Sachsen-Anhalt,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Sachsen-Anhalt 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0165,AOK Sachsen-Anhalt,2025-01,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK Sachsen-Anhalt 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0166,AOK Sachsen-Anhalt,2025-01,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK Sachsen-Anhalt 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0167,AOK Sachsen-Anhalt,2025-01,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK Sachsen-Anhalt 2025-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0168,BKK,2024-06,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0169,BKK,2024-06,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0170,BKK,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0171,BKK,2024-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email BKK Ratenzahlung Mahnung 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0172,BKK,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0173,BKK,2025-02,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0174,BKK,2025-02,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0175,BKK,2025-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0176,BKK,2025-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0177,BKK Linde,2024-06,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK Linde 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0178,BKK Linde,2024-06,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK Linde 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0179,BKK Linde,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK Linde 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0180,BKK Linde,2024-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email BKK Linde Ratenzahlung Mahnung 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0181,BKK Linde,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK Linde 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0182,BKK Linde,2024-10,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK Linde 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0183,BKK Linde,2024-10,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK Linde 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0184,BKK Linde,2024-10,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK Linde 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0185,BKK Linde,2024-10,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email BKK Linde Ratenzahlung Mahnung 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0186,BKK Linde,2024-10,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK Linde 2024-10,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0187,BKK Linde,2025-02,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK Linde 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0188,BKK Linde,2025-02,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK Linde 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0189,BKK Linde,2025-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK Linde 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0190,BKK Linde,2025-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK Linde 2025-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0191,BKK Linde,2025-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK Linde 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0192,BKK Linde,2025-03,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK Linde 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0193,BKK Linde,2025-03,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK Linde 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0194,BKK Linde,2025-03,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email BKK Linde Ratenzahlung Mahnung 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0195,BKK Linde,2025-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK Linde 2025-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0196,BKK Linde,2025-06,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis BKK Linde 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0197,BKK Linde,2025-06,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung BKK Linde 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0198,BKK Linde,2025-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung BKK Linde 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0199,BKK Linde,2025-06,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email BKK Linde Ratenzahlung Mahnung 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0200,BKK Linde,2025-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung BKK Linde 2025-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0201,Barmer,2024-09,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis Barmer 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0202,Barmer,2024-09,ACCOUNTING_NOTIFICATION,No source row in current evidence package establishes this link.,accountant-to-Martin obligation notification,Brunettin Zahlung Barmer 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0203,Barmer,2024-09,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung Barmer 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0204,Barmer,2024-09,KRANKENKASSE_COMMUNICATION,No source row in current evidence package establishes this link.,communication with Krankenkasse/Einzugsstelle,email Barmer Ratenzahlung Mahnung 2024-09,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
